name;latitude;longitude
Auchan Nantes St-Nazaire;47.3015;-2.209280000000035
Auchan Nantes St-Sebastien;47.1909;-1.4942100000000664
Auchan Nantes St-Herblain;47.2468;-1.6055800000000318
Auchan Drive - 44, Saint Nazaire;47.3014;-2.2104400000000624
Carrefour Nantes Beaujoire;47.2579;-1.512809999999945
Carrefour Nantes Beaulieu;47.2066;-1.5337799999999788
Carrefour Saint Herblain;47.2218;-1.605160000000069
Carrefour City Guérande;47.3279;-2.4265000000000327
Carrefour City La Baule;47.2863;-2.3925500000000284
Carrefour City La Turballe;47.3476;-2.507219999999961
Carrefour City Nantes Bellevue;47.209;-1.610930000000053
Carrefour City Nantes Carnot;47.2144;-1.5455799999999726
Carrefour City NANTES CASSINI;47.2149;-1.5650699999999915
Carrefour City Nantes Coubertin;47.2288;-1.587760000000003
Carrefour City Nantes Grillaud;47.2199;-1.5804600000000164
Carrefour City Nantes Grootaers;47.2385;-1.5856400000000122
Carrefour City NANTES HAUTS PAVES;47.2236;-1.5635999999999513
Carrefour City Nantes Jules Verne;47.2348;-1.53487999999993
Carrefour City Nantes Lamoricière;47.2128;-1.5715700000000652
Carrefour City Nantes Pontereau;47.2395;-1.5051499999999578
Carrefour City Reze;47.1853;-1.5462300000000369
Carrefour City SAINT NAZAIRE GAMBETTA;47.2771;-2.2173099999999977
Carrefour City Saint Nazaire Jules Verne;47.2963;-2.1936600000000226
Carrefour City Saint Nazaire Kerlédé;47.2735;-2.2138499999999794
Carrefour Contact La Bernerie en Retz;47.0809;-2.0378600000000233
Carrefour Contact La Chevrolière;47.0912;-1.6113299999999526
Carrefour Contact Mesquer;47.3941;-2.459229999999934
Carrefour Contact NANTES LOU DU BREIL;47.2086;-1.5716300000000274
Carrefour Contact Plessé;47.5421;-1.8824299999999994
Carrefour Contact Saint Joachim;47.3169;-2.1886100000000397
Carrefour Contact SAINT NAZAIRE;47.2761;-2.2131500000000415
Carrefour Carrefour Express Saint Nazaire Brooodcoorens;47.261;-2.2549999999999955
Carrefour Carrefour Express Saint Nazaire;47.27;-2.2390000000000327
Carrefour Carrefour Express Nantes Dervallières (quartier Bastille);47.221;-1.5740000000000691
Carrefour Carrefour Express Donges;47.318;-2.076999999999998
Carrefour Carrefour Express Clisson;47.086;-1.2839999999999918
Carrefour Carrefour Express Carquefou;47.297;-1.4919999999999618
Carrefour Market SAINT NAZAIRE VILLEPORT;47.2751;-2.203830000000039
Carrefour Market Pornichet;47.2578;-2.3179700000000594
Carrefour Market Nantes;47.2296;-1.5723800000000665
Carrefour Market LA CHAPELLE LAUNAY;47.3606;-1.9551500000000033
Carrefour Market LA BAULE;47.2982;-2.43166999999994
Carrefour Market COUERON;47.2141;-1.7240100000000211
Carrefour Market Chateaubriant;47.7179;-1.3782099999999673
Carrefour Market ST JULIEN DE CONCELLES;47.2523;-1.368029999999976
Casino NANTES BUAT;47.2267;-1.5429300000000694
Casino SAINT HERBLAIN;47.2112;-1.6162199999999984
Casino Drive Saint Nazaire;47.257;-2.264130000000023
Casino Drive La Chapelle sur Erdre;47.2996;-1.5506399999999303
Casino Drive Nantes;47.2185;-1.5446600000000217
CASINO SHOP Nantes;47.2393;-1.531470000000013
CASINO SHOP Pornichet;47.2692;-2.342779999999948
Géant Saint Nazaire;47.2578;-2.2638299999999845
Géant Nantes / La Chapelle sur Erdre;47.2845;-1.5520199999999704
INTERMARCHE SUPER La chapelle-Launay;47.3723;-1.971589999999992
